company_name,live_count,death_happened,death_case_index
C_345,20,False,
C_346,20,False,
C_347,5,False,
C_348,6,False,
C_349,20,False,
C_350,0,True,0.0
C_351,6,False,
C_352,19,False,
C_353,20,False,
C_354,1,False,
C_355,15,False,
C_356,20,False,
C_357,0,True,0.0
C_358,2,False,
C_359,20,False,
C_360,1,False,
C_361,1,False,
C_362,8,False,
C_363,15,False,
C_364,1,False,
C_365,20,False,
C_366,5,False,
C_367,13,False,
C_368,3,False,
C_369,15,False,
C_370,1,False,
C_371,8,False,
C_372,19,False,
C_373,7,False,
C_374,20,False,
C_375,3,False,
C_376,20,False,
C_377,19,False,
C_378,8,False,
C_379,4,False,
C_380,11,False,
C_381,20,False,
C_382,3,False,
C_383,4,False,
C_384,8,False,
C_385,7,False,
C_386,20,False,
C_387,14,False,
C_388,20,False,
C_389,16,False,
C_390,1,False,
C_391,1,False,
C_392,20,False,
C_393,20,False,
C_394,12,False,
C_395,8,False,
C_396,13,False,
C_397,20,False,
C_398,20,False,
C_399,20,False,
C_400,20,False,
C_401,20,False,
C_402,7,False,
C_403,16,False,
C_404,20,False,
C_405,2,False,
C_406,20,False,
C_407,20,False,
C_408,13,False,
C_409,0,True,0.0
C_410,14,False,
C_411,1,False,
C_412,20,False,
C_413,19,False,
C_414,2,False,
C_415,20,False,
C_416,19,False,
C_417,20,False,
C_418,20,False,
C_419,4,False,
C_420,12,False,
C_421,4,False,
C_422,12,False,
C_423,20,False,
C_424,2,False,
C_425,0,True,0.0
C_426,20,False,
C_427,6,False,
C_428,20,False,
C_429,3,False,
C_430,4,False,
C_431,2,False,
C_432,4,False,
C_433,4,False,
C_434,10,False,
C_435,7,False,
C_436,2,False,
C_437,20,False,
C_438,13,False,
C_439,20,False,
C_440,12,False,
C_441,2,False,
C_442,0,True,0.0
C_443,0,True,0.0
C_444,12,False,
C_445,5,False,
C_446,0,True,0.0
C_447,19,False,
C_448,2,False,
C_449,20,False,
C_450,10,False,
C_451,5,False,
C_452,1,False,
C_453,16,False,
C_454,20,False,
C_455,20,False,
C_456,19,False,
C_457,1,False,
C_458,9,False,
C_459,7,False,
C_460,9,False,
C_461,1,False,
C_462,9,False,
C_463,20,False,
C_464,20,False,
C_465,8,False,
C_466,20,False,
C_467,20,False,
C_468,20,False,
C_469,12,False,
C_470,13,False,
C_471,20,False,
C_472,6,False,
C_473,15,False,
C_474,1,False,
C_475,20,False,
C_476,20,False,
C_477,20,False,
C_478,0,True,0.0
C_479,9,False,
C_480,0,True,0.0
C_481,20,False,
C_482,8,False,
C_483,20,False,
C_484,20,False,
C_485,11,False,
C_486,6,False,
C_487,4,False,
C_488,18,False,
C_489,0,True,0.0
C_490,20,False,
C_491,20,False,
C_492,19,False,
C_493,8,False,
C_494,20,False,
C_495,20,False,
C_496,1,False,
C_497,20,False,
C_498,14,False,
C_499,14,False,
C_500,20,False,
C_501,4,False,
C_502,20,False,
C_503,18,False,
C_504,1,False,
C_505,8,False,
C_506,6,False,
C_507,2,False,
C_508,20,False,
C_509,1,False,
C_510,0,True,0.0
C_511,20,False,
C_512,3,False,
C_513,20,False,
C_514,8,False,
C_515,5,False,
C_516,20,False,
C_517,20,False,
C_518,13,False,
C_519,8,False,
C_520,19,False,
C_521,20,False,
C_522,12,False,
C_523,18,False,
C_524,4,False,
C_525,20,False,
C_526,19,False,
C_527,3,False,
C_528,17,False,
C_529,1,False,
C_530,16,False,
C_531,15,False,
C_532,19,False,
C_533,0,True,0.0
C_534,1,False,
C_535,0,True,0.0
C_536,7,False,
C_537,7,False,
C_538,20,False,
C_539,6,False,
C_540,20,False,
C_541,20,False,
C_542,18,False,
C_543,19,False,
C_544,20,False,
C_545,20,False,
C_546,16,False,
C_547,5,False,
C_548,20,False,
C_549,20,False,
C_550,7,False,
C_551,20,False,
C_552,20,False,
C_553,20,False,
C_554,17,False,
C_555,10,False,
C_556,10,False,
C_557,2,False,
C_558,3,False,
C_559,20,False,
C_560,0,True,0.0
C_561,20,False,
C_562,20,False,
C_563,20,False,
C_564,4,False,
C_565,20,False,
C_566,20,False,
C_567,5,False,
C_568,12,False,
C_569,2,False,
C_570,2,False,
C_571,0,True,0.0
C_572,16,False,
C_573,7,False,
C_574,1,False,
C_575,6,False,
C_576,20,False,
C_577,1,False,
C_578,0,True,0.0
C_579,20,False,
C_580,17,False,
C_581,19,False,
C_582,10,False,
C_583,20,False,
C_584,20,False,
C_585,1,False,
C_586,18,False,
C_587,2,False,
C_588,15,False,
C_589,7,False,
C_590,1,False,
C_591,3,False,
C_592,4,False,
C_593,5,False,
C_594,6,False,
C_595,20,False,
C_596,0,True,0.0
C_597,3,False,
C_598,20,False,
C_599,2,False,
C_600,1,False,
C_601,10,False,
C_602,9,False,
C_603,1,False,
C_604,14,False,
C_605,20,False,
C_606,20,False,
C_607,20,False,
C_608,2,False,
C_609,7,False,
C_610,2,False,
C_611,3,False,
C_612,15,False,
C_613,1,False,
C_614,20,False,
C_615,15,False,
C_616,20,False,
C_617,0,True,0.0
C_618,12,False,
C_619,16,False,
C_620,19,False,
C_621,14,False,
C_622,7,False,
C_623,20,False,
C_624,0,True,0.0
C_625,18,False,
C_626,1,False,
C_627,1,False,
C_628,20,False,
C_629,20,False,
C_630,20,False,
C_631,3,False,
C_632,20,False,
C_633,10,False,
C_634,3,False,
C_635,6,False,
C_636,2,False,
C_637,9,False,
C_638,7,False,
C_639,20,False,
C_640,20,False,
C_641,0,True,0.0
C_642,1,False,
C_643,20,False,
C_644,8,False,
C_645,9,False,
C_646,20,False,
C_647,18,False,
C_648,2,False,
C_649,20,False,
C_650,2,False,
C_651,20,False,
C_652,3,False,
C_653,4,False,
C_654,12,False,
C_655,1,False,
C_656,20,False,
C_657,1,False,
C_658,6,False,
C_659,4,False,
C_660,20,False,
C_661,0,True,0.0
C_662,17,False,
C_663,1,False,
C_664,1,False,
C_665,20,False,
C_666,3,False,
C_667,13,False,
C_668,20,False,
C_669,20,False,
C_670,1,False,
C_671,20,False,
C_672,20,False,
C_673,4,False,
C_674,20,False,
C_675,20,False,
C_676,20,False,
C_677,0,True,0.0
C_678,6,False,
C_679,13,False,
C_680,8,False,
C_681,1,False,
C_682,3,False,
C_683,20,False,
C_684,5,False,
C_685,5,False,
C_686,0,True,0.0
C_687,2,False,
C_688,4,False,
C_689,0,True,0.0
C_690,3,False,
C_691,14,False,
C_692,6,False,
C_693,2,False,
C_694,1,False,
C_695,7,False,
C_696,9,False,
C_697,20,False,
C_698,9,False,
C_699,2,False,
C_700,9,False,
C_701,1,False,
C_702,1,False,
C_703,15,False,
C_704,8,False,
C_705,12,False,
C_706,1,False,
C_707,20,False,
C_708,20,False,
C_709,0,True,0.0
C_710,2,False,
C_711,0,True,0.0
C_712,20,False,
C_713,0,True,0.0
C_714,20,False,
C_715,20,False,
C_716,20,False,
C_717,20,False,
C_718,6,False,
C_719,20,False,
C_720,20,False,
C_721,1,False,
C_722,20,False,
C_723,18,False,
C_724,8,False,
C_725,20,False,
C_726,6,False,
C_727,20,False,
C_728,9,False,
C_729,12,False,
C_730,20,False,
C_731,20,False,
C_732,20,False,
C_733,20,False,
C_734,3,False,
C_735,15,False,
C_736,14,False,
C_737,20,False,
C_738,19,False,
C_739,9,False,
C_740,4,False,
C_741,20,False,
C_742,2,False,
C_743,20,False,
C_744,0,True,0.0
C_745,20,False,
C_746,7,False,
C_747,1,False,
C_748,17,False,
C_749,2,False,
C_750,20,False,
C_751,3,False,
C_752,20,False,
C_753,5,False,
C_754,7,False,
C_755,3,False,
C_756,20,False,
C_757,20,False,
C_758,17,False,
C_759,20,False,
C_760,5,False,
C_761,6,False,
C_762,14,False,
C_763,2,False,
C_764,11,False,
C_765,11,False,
C_766,20,False,
C_767,0,True,0.0
C_768,10,False,
C_769,7,False,
C_770,2,False,
C_771,20,False,
C_772,2,False,
C_773,20,False,
C_774,20,False,
C_775,20,False,
C_776,13,False,
C_777,2,False,
C_778,20,False,
C_779,20,False,
C_780,6,False,
C_781,19,False,
C_782,19,False,
C_783,3,False,
C_784,20,False,
C_785,4,False,
C_786,6,False,
C_787,13,False,
C_788,3,False,
C_789,10,False,
C_790,3,False,
C_791,6,False,
C_792,20,False,
C_793,11,False,
C_794,20,False,
C_795,19,False,
C_796,20,False,
C_797,20,False,
C_798,8,False,
C_799,20,False,
C_800,0,True,0.0
C_801,20,False,
C_802,1,False,
C_803,7,False,
C_804,7,False,
C_805,9,False,
C_806,6,False,
C_807,0,True,0.0
C_808,8,False,
C_809,0,True,0.0
C_810,20,False,
C_811,20,False,
C_812,19,False,
C_813,2,False,
C_814,16,False,
C_815,20,False,
C_816,5,False,
C_817,20,False,
C_818,15,False,
C_819,13,False,
C_820,0,True,0.0
C_821,20,False,
C_822,2,False,
C_823,0,True,0.0
C_824,15,False,
C_825,2,False,
C_826,0,True,0.0
C_827,20,False,
C_828,0,True,0.0
C_829,9,False,
C_830,20,False,
C_831,6,False,
C_832,9,False,
C_833,7,False,
C_834,5,False,
C_835,1,False,
C_836,8,False,
C_837,1,False,
C_838,0,True,0.0
C_839,20,False,
C_840,20,False,
C_841,1,False,
C_842,8,False,
C_843,2,False,
C_844,13,False,
C_845,10,False,
C_846,20,False,
C_847,3,False,
C_848,20,False,
C_849,1,False,
C_850,4,False,
C_851,0,True,0.0
C_852,1,False,
C_853,20,False,
C_854,20,False,
C_855,1,False,
C_856,10,False,
C_857,1,False,
C_858,2,False,
C_859,6,False,
C_860,1,False,
C_861,20,False,
C_862,0,True,0.0
C_863,13,False,
C_864,16,False,
C_865,20,False,
C_866,8,False,
C_867,11,False,
C_868,0,True,0.0
C_869,20,False,
C_870,16,False,
C_871,19,False,
C_872,20,False,
C_873,5,False,
C_874,11,False,
C_875,8,False,
C_876,0,True,0.0
C_877,14,False,
C_878,7,False,
C_879,2,False,
C_880,20,False,
C_881,8,False,
C_882,20,False,
C_883,20,False,
C_884,7,False,
C_885,19,False,
C_886,20,False,
C_887,13,False,
C_888,5,False,
C_889,20,False,
C_890,20,False,
C_891,11,False,
C_892,20,False,
C_893,3,False,
C_894,7,False,
C_895,7,False,
C_896,1,False,
C_897,20,False,
C_898,20,False,
C_899,20,False,
C_900,20,False,
C_901,20,False,
C_902,15,False,
C_903,2,False,
C_904,19,False,
C_905,12,False,
C_906,20,False,
C_907,20,False,
C_908,2,False,
C_909,7,False,
C_910,7,False,
C_911,20,False,
C_912,8,False,
C_913,20,False,
C_914,19,False,
C_915,5,False,
C_916,12,False,
C_917,11,False,
C_918,20,False,
C_919,9,False,
C_920,0,True,0.0
C_921,20,False,
C_922,0,True,0.0
C_923,17,False,
C_924,8,False,
C_925,6,False,
C_926,0,True,0.0
C_927,5,False,
C_928,4,False,
C_929,7,False,
C_930,20,False,
C_931,1,False,
C_932,20,False,
C_933,20,False,
C_934,5,False,
C_935,1,False,
C_936,1,False,
C_937,3,False,
C_938,1,False,
C_939,2,False,
C_940,18,False,
C_941,4,False,
C_942,20,False,
C_943,7,False,
C_944,8,False,
C_945,8,False,
C_946,9,False,
C_947,8,False,
C_948,11,False,
C_949,20,False,
C_950,20,False,
C_951,12,False,
C_952,20,False,
C_953,14,False,
C_954,13,False,
C_955,3,False,
C_956,20,False,
C_957,20,False,
C_958,20,False,
C_959,15,False,
C_960,5,False,
C_961,1,False,
C_962,20,False,
C_963,8,False,
C_964,9,False,
C_965,5,False,
C_966,20,False,
C_967,4,False,
C_968,11,False,
C_969,20,False,
C_970,15,False,
C_971,1,False,
C_972,18,False,
C_973,20,False,
C_974,3,False,
C_975,1,False,
C_976,20,False,
C_977,7,False,
C_978,20,False,
C_979,1,False,
C_980,15,False,
C_981,3,False,
C_982,12,False,
C_983,14,False,
C_984,20,False,
C_985,16,False,
C_986,9,False,
C_987,7,False,
C_988,20,False,
C_989,6,False,
C_990,9,False,
C_991,7,False,
C_992,3,False,
C_993,3,False,
C_994,20,False,
C_995,7,False,
C_996,3,False,
C_997,20,False,
C_998,0,True,0.0
C_999,20,False,
C_1000,20,False,
C_1001,20,False,
C_1002,20,False,
C_1003,20,False,
C_1004,19,False,
C_1005,9,False,
C_1006,13,False,
C_1007,15,False,
C_1008,7,False,
C_1009,20,False,
C_1010,20,False,
C_1011,5,False,
C_1012,20,False,
C_1013,9,False,
C_1014,9,False,
C_1015,18,False,
C_1016,20,False,
C_1017,20,False,
C_1018,10,False,
C_1019,20,False,
C_1020,0,True,0.0
C_1021,20,False,
C_1022,14,False,
C_1023,3,False,
C_1024,20,False,
C_1025,20,False,
C_1026,15,False,
C_1027,19,False,
C_1028,12,False,
C_1029,3,False,
C_1030,16,False,
C_1031,20,False,
C_1032,20,False,
C_1033,19,False,
C_1034,20,False,
C_1035,2,False,
C_1036,5,False,
C_1037,20,False,
C_1038,20,False,
C_1039,20,False,
C_1040,7,False,
C_1041,19,False,
C_1042,2,False,
C_1043,11,False,
C_1044,4,False,
C_1045,20,False,
C_1046,0,True,0.0
C_1047,9,False,
C_1048,20,False,
C_1049,20,False,
C_1050,6,False,
C_1051,2,False,
C_1052,12,False,
C_1053,18,False,
C_1054,20,False,
C_1055,1,False,
C_1056,8,False,
C_1057,15,False,
C_1058,0,True,0.0
C_1059,20,False,
C_1060,2,False,
C_1061,20,False,
C_1062,4,False,
C_1063,20,False,
C_1064,1,False,
C_1065,5,False,
C_1066,5,False,
C_1067,7,False,
C_1068,18,False,
C_1069,1,False,
C_1070,14,False,
C_1071,14,False,
C_1072,3,False,
C_1073,20,False,
C_1074,4,False,
C_1075,5,False,
C_1076,1,False,
C_1077,20,False,
C_1078,20,False,
C_1079,16,False,
C_1080,2,False,
C_1081,20,False,
C_1082,20,False,
C_1083,15,False,
C_1084,19,False,
C_1085,0,True,0.0
C_1086,20,False,
C_1087,7,False,
C_1088,20,False,
C_1089,14,False,
C_1090,10,False,
C_1091,20,False,
C_1092,1,False,
C_1093,6,False,
C_1094,20,False,
C_1095,20,False,
C_1096,20,False,
C_1097,1,False,
C_1098,14,False,
C_1099,2,False,
C_1100,20,False,
C_1101,5,False,
C_1102,12,False,
C_1103,4,False,
C_1104,14,False,
C_1105,12,False,
C_1106,20,False,
C_1107,7,False,
C_1108,9,False,
C_1109,14,False,
C_1110,8,False,
C_1111,5,False,
C_1112,20,False,
C_1113,20,False,
C_1114,0,True,0.0
C_1115,8,False,
C_1116,9,False,
C_1117,20,False,
C_1118,20,False,
C_1119,3,False,
C_1120,20,False,
C_1121,20,False,
C_1122,20,False,
C_1123,17,False,
C_1124,19,False,
C_1125,20,False,
C_1126,20,False,
C_1127,20,False,
C_1128,6,False,
C_1129,6,False,
C_1130,20,False,
C_1131,20,False,
C_1132,20,False,
C_1133,5,False,
C_1134,0,True,0.0
C_1135,20,False,
C_1136,20,False,
C_1137,20,False,
C_1138,1,False,
C_1139,8,False,
C_1140,2,False,
C_1141,20,False,
C_1142,20,False,
C_1143,20,False,
C_1144,0,True,0.0
C_1145,20,False,
C_1146,20,False,
C_1147,15,False,
C_1148,20,False,
C_1149,2,False,
C_1150,2,False,
C_1151,11,False,
C_1152,1,False,
C_1153,20,False,
C_1154,11,False,
C_1155,1,False,
C_1156,11,False,
C_1157,7,False,
C_1158,1,False,
C_1159,1,False,
C_1160,16,False,
C_1161,1,False,
C_1162,11,False,
C_1163,20,False,
C_1164,20,False,
C_1165,20,False,
C_1166,11,False,
C_1167,7,False,
C_1168,20,False,
C_1169,0,True,0.0
C_1170,5,False,
C_1171,6,False,
C_1172,8,False,
C_1173,0,True,0.0
C_1174,7,False,
C_1175,20,False,
C_1176,7,False,
C_1177,20,False,
C_1178,20,False,
C_1179,16,False,
C_1180,0,True,0.0
C_1181,10,False,
C_1182,11,False,
C_1183,1,False,
C_1184,20,False,
C_1185,6,False,
C_1186,2,False,
C_1187,3,False,
C_1188,20,False,
C_1189,0,True,0.0
C_1190,20,False,
C_1191,19,False,
C_1192,20,False,
C_1193,20,False,
C_1194,20,False,
C_1195,0,True,0.0
C_1196,20,False,
C_1197,7,False,
C_1198,5,False,
C_1199,0,True,0.0
C_1200,14,False,
C_1201,20,False,
C_1202,4,False,
C_1203,8,False,
C_1204,16,False,
C_1205,2,False,
C_1206,9,False,
C_1207,20,False,
C_1208,20,False,
C_1209,10,False,
C_1210,20,False,
C_1211,20,False,
C_1212,0,True,0.0
C_1213,20,False,
C_1214,7,False,
C_1215,20,False,
C_1216,0,True,0.0
C_1217,9,False,
C_1218,1,False,
C_1219,20,False,
C_1220,2,False,
C_1221,1,False,
C_1222,17,False,
C_1223,1,False,
C_1224,6,False,
C_1225,7,False,
C_1226,0,True,0.0
C_1227,20,False,
C_1228,20,False,
C_1229,20,False,
C_1230,8,False,
C_1231,8,False,
C_1232,16,False,
C_1233,20,False,
C_1234,20,False,
C_1235,1,False,
C_1236,9,False,
C_1237,20,False,
C_1238,0,True,0.0
C_1239,0,True,0.0
C_1240,20,False,
C_1241,2,False,
C_1242,8,False,
C_1243,20,False,
C_1244,20,False,
C_1245,19,False,
C_1246,20,False,
C_1247,20,False,
C_1248,3,False,
C_1249,5,False,
C_1250,17,False,
C_1251,0,True,0.0
C_1252,20,False,
C_1253,20,False,
C_1254,20,False,
C_1255,2,False,
C_1256,1,False,
C_1257,3,False,
C_1258,20,False,
C_1259,1,False,
C_1260,11,False,
C_1261,0,True,0.0
C_1262,8,False,
C_1263,2,False,
C_1264,1,False,
C_1265,6,False,
C_1266,20,False,
C_1267,0,True,0.0
C_1268,9,False,
C_1269,20,False,
C_1270,17,False,
C_1271,20,False,
C_1272,2,False,
C_1273,17,False,
C_1274,5,False,
C_1275,5,False,
C_1276,8,False,
C_1277,3,False,
C_1278,20,False,
C_1279,3,False,
C_1280,20,False,
C_1281,1,False,
C_1282,20,False,
C_1283,0,True,0.0
C_1284,15,False,
C_1285,3,False,
C_1286,10,False,
C_1287,1,False,
C_1288,20,False,
C_1289,20,False,
C_1290,1,False,
C_1291,20,False,
C_1292,2,False,
C_1293,20,False,
C_1294,9,False,
C_1295,20,False,
C_1296,18,False,
C_1297,6,False,
C_1298,17,False,
C_1299,11,False,
C_1300,20,False,
C_1301,20,False,
C_1302,19,False,
C_1303,1,False,
C_1304,9,False,
C_1305,4,False,
C_1306,20,False,
C_1307,20,False,
C_1308,3,False,
C_1309,6,False,
C_1310,20,False,
C_1311,3,False,
C_1312,5,False,
C_1313,7,False,
C_1314,20,False,
C_1315,20,False,
C_1316,8,False,
C_1317,2,False,
C_1318,2,False,
C_1319,20,False,
C_1320,2,False,
C_1321,2,False,
C_1322,1,False,
C_1323,1,False,
C_1324,1,False,
C_1325,19,False,
C_1326,2,False,
C_1327,19,False,
C_1328,20,False,
C_1329,3,False,
C_1330,7,False,
C_1331,20,False,
C_1332,14,False,
C_1333,9,False,
C_1334,1,False,
C_1335,2,False,
C_1336,0,True,0.0
C_1337,20,False,
C_1338,20,False,
C_1339,10,False,
C_1340,1,False,
C_1341,19,False,
C_1342,0,True,0.0
C_1343,2,False,
C_1344,20,False,
C_1345,20,False,
C_1346,0,True,0.0
C_1347,20,False,
C_1348,2,False,
C_1349,15,False,
C_1350,0,True,0.0
C_1351,7,False,
C_1352,0,True,0.0
C_1353,20,False,
C_1354,2,False,
C_1355,0,True,0.0
C_1356,1,False,
C_1357,3,False,
C_1358,9,False,
C_1359,20,False,
C_1360,16,False,
C_1361,16,False,
C_1362,3,False,
C_1363,4,False,
C_1364,11,False,
C_1365,11,False,
C_1366,2,False,
C_1367,15,False,
C_1368,12,False,
C_1369,1,False,
C_1370,17,False,
C_1371,4,False,
C_1372,0,True,0.0
C_1373,2,False,
C_1374,3,False,
C_1375,1,False,
C_1376,16,False,
C_1377,6,False,
C_1378,19,False,
C_1379,5,False,
C_1380,20,False,
C_1381,19,False,
C_1382,19,False,
C_1383,6,False,
C_1384,17,False,
C_1385,7,False,
C_1386,11,False,
C_1387,20,False,
C_1388,4,False,
C_1389,5,False,
C_1390,20,False,
C_1391,0,True,0.0
C_1392,20,False,
C_1393,2,False,
C_1394,2,False,
C_1395,4,False,
C_1396,0,True,0.0
C_1397,20,False,
C_1398,6,False,
C_1399,1,False,
C_1400,2,False,
C_1401,7,False,
C_1402,20,False,
C_1403,20,False,
C_1404,3,False,
C_1405,9,False,
C_1406,20,False,
C_1407,2,False,
C_1408,8,False,
C_1409,11,False,
C_1410,20,False,
C_1411,1,False,
C_1412,1,False,
C_1413,3,False,
C_1414,20,False,
C_1415,20,False,
C_1416,3,False,
C_1417,6,False,
C_1418,9,False,
C_1419,0,True,0.0
C_1420,20,False,
C_1421,16,False,
C_1422,15,False,
C_1423,2,False,
C_1424,6,False,
C_1425,3,False,
C_1426,11,False,
C_1427,1,False,
C_1428,17,False,
C_1429,20,False,
C_1430,11,False,
C_1431,14,False,
C_1432,20,False,
C_1433,20,False,
C_1434,16,False,
C_1435,17,False,
C_1436,1,False,
C_1437,12,False,
C_1438,20,False,
C_1439,20,False,
C_1440,0,True,0.0
C_1441,1,False,
C_1442,8,False,
C_1443,20,False,
C_1444,20,False,
C_1445,20,False,
C_1446,2,False,
C_1447,1,False,
C_1448,13,False,
C_1449,6,False,
C_1450,20,False,
C_1451,11,False,
C_1452,20,False,
C_1453,17,False,
C_1454,18,False,
C_1455,20,False,
C_1456,14,False,
C_1457,20,False,
C_1458,12,False,
C_1459,5,False,
C_1460,3,False,
C_1461,15,False,
C_1462,6,False,
C_1463,2,False,
C_1464,20,False,
